Layer,%,Type,Concentration,Depth,Transition,Transition,I concentration
0,0,N,3.00E+19,2,No,No,5.00E-09
1,0,P,2.80E+15,0.48,No,No,5.00E-09
2,0,P,2.40E+18,0.2,No,No,5.00E-09
3,0,P,1.00E+19,0.2,No,No,5.00E-09
